Республика Башкортостан;80
Республика Бурятия;81
Республика Алтай;84
Республика Дагестан;82
Республика Ингушетия;26
Кабардино-Балкарская Республика;83
Республика Калмыкия;85
Карачаево-Черкесская Республика;91
Республика Карелия;86
Республика Коми;87
Республика Марий Эл;88
Республика Мордовия;89
Республика Саха (Якутия);98
Республика Северная Осетия - Алания;90
Республика Татарстан (Татарстан);92
Республика Тыва;93
Удмуртская Республика;94
Республика Хакасия;95
Чеченская Республика;96
Чувашская Республика - Чувашия;97
Алтайский край;1
Краснодарский край;3
Красноярский край;4
Приморский край;5
Ставропольский край;7
Хабаровский край;8
Амурская область;10
Архангельская область;11
Астраханская область;12
Белгородская область;14
Брянская область;15
Владимирская область;17
Волгоградская область;18
Вологодская область;19
Воронежская область;20
Ивановская область;24
Иркутская область;25
Калининградская область;27
Калужская область;29
Камчатский край;30
Кемеровская область;32
Кировская область;33
Костромская область;34
Курганская область;37
Курская область;38
Ленинградская область;41
Липецкая область;42
Магаданская область;44
Московская область;46
Мурманская область;47
Нижегородская область;22
Новгородская область;49
Новосибирская область;50
Омская область;52
Оренбургская область;53
Орловская область;54
Пензенская область;56
Пермский край;57
Псковская область;58
Ростовская область;60
Рязанская область;61
Самарская область;36
Саратовская область;63
Сахалинская область;64
Свердловская область;65
Смоленская область;66
Тамбовская область;68
Тверская область;28
Томская область;69
Тульская область;70
Тюменская область;71
Ульяновская область;73
Челябинская область;75
Забайкальский край;76
Ярославская область;78
г. Москва;45
г. Санкт-Петербург;40
Еврейская автономная область;99
Ненецкий автономный округ;Автономный округ
Ханты-Мансийский автономный округ - Югра;Автономный округ
Чукотский автономный округ;77
Ямало-Ненецкий автономный округ;Автономный округ
Республика Крым;35
г. Севастополь;67
г. Байконур;55
